Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,8210.099609375,8212.0,8133.7998046875,8179.5,8179.5,118300
2017-01-03,8196.0498046875,8219.099609375,8148.60009765625,8192.25,8192.25,127300
2017-01-04,8202.650390625,8218.5,8180.89990234375,8190.5,8190.5,132400
2017-01-05,8226.650390625,8282.650390625,8223.7001953125,8273.7998046875,8273.7998046875,159100
2017-01-06,8281.849609375,8306.849609375,8233.25,8243.7998046875,8243.7998046875,139400
2017-01-09,8259.349609375,8263.0,8227.75,8236.0498046875,8236.0498046875,99100
2017-01-10,8262.7001953125,8293.7998046875,8261.0,8288.599609375,8288.599609375,142900
2017-01-11,8327.7998046875,8389.0,8322.25,8380.650390625,8380.650390625,186500
2017-01-12,8391.0498046875,8417.2001953125,8382.2998046875,8407.2001953125,8407.2001953125,172600
2017-01-13,8457.650390625,8461.0498046875,8373.150390625,8400.349609375,8400.349609375,185300
2017-01-16,8390.9501953125,8426.7001953125,8374.400390625,8412.7998046875,8412.7998046875,124100
2017-01-17,8415.0498046875,8440.900390625,8378.2998046875,8398.0,8398.0,122000
2017-01-18,8403.849609375,8460.2998046875,8397.400390625,8417.0,8417.0,163800
2017-01-19,8418.400390625,8445.150390625,8404.0498046875,8435.099609375,8435.099609375,165900
2017-01-20,8404.349609375,8423.650390625,8340.9501953125,8349.349609375,8349.349609375,202600
2017-01-23,8329.599609375,8404.150390625,8327.2001953125,8391.5,8391.5,195000
2017-01-24,8407.0498046875,8480.9501953125,8398.150390625,8475.7998046875,8475.7998046875,179200
2017-01-25,8499.4501953125,8612.599609375,8493.9501953125,8602.75,8602.75,292500
2017-01-27,8610.5,8672.7001953125,8606.900390625,8641.25,8641.25,275400
2017-01-30,8635.5498046875,8662.599609375,8617.75,8632.75,8632.75,304700
2017-01-31,8629.4501953125,8631.75,8552.400390625,8561.2998046875,8561.2998046875,521000
2017-02-01,8570.349609375,8722.400390625,8537.5,8716.400390625,8716.400390625,327700
2017-02-02,8724.75,8757.599609375,8685.7998046875,8734.25,8734.25,283500
2017-02-03,8735.150390625,8748.25,8707.75,8740.9501953125,8740.9501953125,191000
2017-02-06,8785.4501953125,8814.099609375,8770.2001953125,8801.0498046875,8801.0498046875,194400
2017-02-07,8805.7001953125,8809.2998046875,8741.0498046875,8768.2998046875,8768.2998046875,226300
2017-02-08,8774.5498046875,8791.25,8715.0,8769.0498046875,8769.0498046875,218700
2017-02-09,8795.5498046875,8821.400390625,8724.099609375,8778.400390625,8778.400390625,187500
2017-02-10,8812.349609375,8822.099609375,8771.2001953125,8793.5498046875,8793.5498046875,225900
2017-02-13,8819.7998046875,8826.900390625,8754.2001953125,8805.0498046875,8805.0498046875,204900
2017-02-14,8819.900390625,8820.4501953125,8772.5,8792.2998046875,8792.2998046875,188300
2017-02-15,8778.9501953125,8807.900390625,8712.849609375,8724.7001953125,8724.7001953125,216100
2017-02-16,8739.0,8783.9501953125,8719.599609375,8778.0,8778.0,184600
2017-02-17,8883.7001953125,8896.4501953125,8804.25,8821.7001953125,8821.7001953125,298300
2017-02-20,8818.5498046875,8886.25,8809.7998046875,8879.2001953125,8879.2001953125,167800
2017-02-21,8890.75,8920.7998046875,8860.9501953125,8907.849609375,8907.849609375,175700
2017-02-22,8931.599609375,8960.75,8905.25,8926.900390625,8926.900390625,247100
2017-02-23,8956.400390625,8982.150390625,8927.5498046875,8939.5,8939.5,377200
2017-02-27,8943.7001953125,8951.7998046875,8888.650390625,8896.7001953125,8896.7001953125,189900
2017-02-28,8898.9501953125,8914.75,8867.599609375,8879.599609375,8879.599609375,293600
2017-03-01,8904.400390625,8960.7998046875,8898.599609375,8945.7998046875,8945.7998046875,205900
2017-03-02,8982.849609375,8992.5,8879.7998046875,8899.75,8899.75,218800
2017-03-03,8883.5,8907.099609375,8860.099609375,8897.5498046875,8897.5498046875,202600
2017-03-06,8915.099609375,8967.7998046875,8914.0,8963.4501953125,8963.4501953125,174800
2017-03-07,8977.75,8977.849609375,8932.7998046875,8946.900390625,8946.900390625,173400
2017-03-08,8950.7001953125,8957.0498046875,8891.9501953125,8924.2998046875,8924.2998046875,177800
2017-03-09,8914.5,8945.7998046875,8899.5,8927.0,8927.0,171500
2017-03-10,8953.7001953125,8975.7001953125,8903.9501953125,8934.5498046875,8934.5498046875,152700
2017-03-14,9091.650390625,9122.75,9060.5,9087.0,9087.0,270300
2017-03-15,9086.849609375,9106.5498046875,9075.5,9084.7998046875,9084.7998046875,240600
2017-03-16,9129.650390625,9158.4501953125,9128.5498046875,9153.7001953125,9153.7001953125,208600
2017-03-17,9207.7998046875,9218.400390625,9147.599609375,9160.0498046875,9160.0498046875,286700
2017-03-20,9166.9501953125,9167.599609375,9116.2998046875,9126.849609375,9126.849609375,332100
2017-03-21,9133.9501953125,9147.75,9087.2001953125,9121.5,9121.5,247700
2017-03-22,9047.2001953125,9072.900390625,9019.2998046875,9030.4501953125,9030.4501953125,232300
2017-03-23,9048.75,9099.0498046875,9048.599609375,9086.2998046875,9086.2998046875,191800
2017-03-24,9104.0,9133.5498046875,9089.400390625,9108.0,9108.0,203700
2017-03-27,9093.4501953125,9094.849609375,9024.650390625,9045.2001953125,9045.2001953125,202700
2017-03-28,9081.5,9110.400390625,9079.7998046875,9100.7998046875,9100.7998046875,183300
2017-03-29,9128.7001953125,9153.150390625,9109.099609375,9143.7998046875,9143.7998046875,243400
2017-03-30,9142.599609375,9183.150390625,9136.349609375,9173.75,9173.75,323400
2017-03-31,9158.900390625,9191.7001953125,9152.099609375,9173.75,9173.75,190900
2017-04-03,9220.599609375,9245.349609375,9192.400390625,9237.849609375,9237.849609375,139100
2017-04-05,9264.400390625,9273.900390625,9215.400390625,9265.150390625,9265.150390625,184800
2017-04-06,9245.7998046875,9267.9501953125,9218.849609375,9261.9501953125,9261.9501953125,186100
2017-04-07,9223.7001953125,9250.5,9188.099609375,9198.2998046875,9198.2998046875,190000
2017-04-10,9225.599609375,9225.650390625,9174.849609375,9181.4501953125,9181.4501953125,135800
2017-04-11,9184.5498046875,9242.7001953125,9172.849609375,9237.0,9237.0,200100
2017-04-12,9242.5,9246.400390625,9161.7998046875,9203.4501953125,9203.4501953125,161800
2017-04-13,9202.5,9202.650390625,9144.9501953125,9150.7998046875,9150.7998046875,166500
2017-04-17,9144.75,9160.0,9120.25,9139.2998046875,9139.2998046875,0
2017-04-18,9163.0,9217.900390625,9095.4501953125,9105.150390625,9105.150390625,174200
2017-04-19,9112.2001953125,9120.5,9075.150390625,9103.5,9103.5,173700
2017-04-20,9108.099609375,9143.900390625,9102.650390625,9136.400390625,9136.400390625,170300
2017-04-21,9179.099609375,9183.650390625,9088.75,9119.400390625,9119.400390625,155200
2017-04-24,9135.349609375,9225.400390625,9130.5498046875,9217.9501953125,9217.9501953125,167700
2017-04-25,9273.0498046875,9309.2001953125,9250.349609375,9306.599609375,9306.599609375,168700
2017-04-26,9336.2001953125,9367.0,9301.349609375,9351.849609375,9351.849609375,185700
2017-04-27,9359.150390625,9367.150390625,9322.650390625,9342.150390625,9342.150390625,209400
2017-04-28,9340.9501953125,9342.650390625,9282.25,9304.0498046875,9304.0498046875,162200
2017-05-02,9339.849609375,9352.5498046875,9269.900390625,9313.7998046875,9313.7998046875,161600
2017-05-03,9344.7001953125,9346.2998046875,9298.400390625,9311.9501953125,9311.9501953125,151600
2017-05-04,9360.9501953125,9365.650390625,9323.25,9359.900390625,9359.900390625,269600
2017-05-05,9374.5498046875,9377.099609375,9272.0,9285.2998046875,9285.2998046875,231900
2017-05-08,9311.4501953125,9338.7001953125,9297.9501953125,9314.0498046875,9314.0498046875,174300
2017-05-09,9337.349609375,9338.9501953125,9307.7001953125,9316.849609375,9316.849609375,132300
2017-05-10,9339.650390625,9414.75,9336.0,9407.2998046875,9407.2998046875,152700
2017-05-11,9448.599609375,9450.650390625,9411.2998046875,9422.400390625,9422.400390625,171100
2017-05-12,9436.650390625,9437.75,9372.5498046875,9400.900390625,9400.900390625,154300
2017-05-15,9433.5498046875,9449.25,9423.099609375,9445.400390625,9445.400390625,140800
2017-05-16,9461.0,9517.2001953125,9456.349609375,9512.25,9512.25,166500
2017-05-17,9517.599609375,9532.599609375,9486.099609375,9525.75,9525.75,205500
2017-05-18,9453.2001953125,9489.099609375,9418.099609375,9429.4501953125,9429.4501953125,193300
2017-05-19,9469.900390625,9505.75,9390.75,9427.900390625,9427.900390625,252100
2017-05-22,9480.25,9498.650390625,9427.900390625,9438.25,9438.25,196800
2017-05-23,9445.0498046875,9448.0498046875,9370.0,9386.150390625,9386.150390625,224400
2017-05-24,9410.900390625,9431.900390625,9341.650390625,9360.5498046875,9360.5498046875,211800
2017-05-25,9384.0498046875,9523.2998046875,9379.2001953125,9509.75,9509.75,289200
2017-05-26,9507.75,9604.900390625,9495.400390625,9595.099609375,9595.099609375,218800
